Date,Station,Lat,Lon,Temp 2m [C]
20/01/2020,London Oxford Airport,"                ""51.75""",-1.25,1.4
21/01/2020,London Oxford Airport,"                ""51.75""",-1.25,1
22/01/2020,London Oxford Airport,"                ""51.75""",-1.25,5.4
23/01/2020,London Oxford Airport,"                ""51.75""",-1.25,6.1
24/01/2020,London Oxford Airport,"                ""51.75""",-1.25,5.6
25/01/2020,London Oxford Airport,"                ""51.75""",-1.25,5.4
26/01/2020,London Oxford Airport,"                ""51.75""",-1.25,7.7
27/01/2020,London Oxford Airport,"                ""51.75""",-1.25,6.1
28/01/2020,London Oxford Airport,"                ""51.75""",-1.25,3.6
29/01/2020,London Oxford Airport,"                ""51.75""",-1.25,5.6
30/01/2020,London Oxford Airport,"                ""51.75""",-1.25,9
31/01/2020,London Oxford Airport,"                ""51.75""",-1.25,10
01/02/2020,London Oxford Airport,"                ""51.75""",-1.25,9.1
02/02/2020,London Oxford Airport,"                ""51.75""",-1.25,9.6
03/02/2020,London Oxford Airport,"                ""51.75""",-1.25,8.3
04/02/2020,London Oxford Airport,"                ""51.75""",-1.25,6.3
05/02/2020,London Oxford Airport,"                ""51.75""",-1.25,5
06/02/2020,London Oxford Airport,"                ""51.75""",-1.25,3.2
07/02/2020,London Oxford Airport,"                ""51.75""",-1.25,4.8
08/02/2020,London Oxford Airport,"                ""51.75""",-1.25,8.3
09/02/2020,London Oxford Airport,"                ""51.75""",-1.25,10.1
10/02/2020,London Oxford Airport,"                ""51.75""",-1.25,5.9
11/02/2020,London Oxford Airport,"                ""51.75""",-1.25,4.4
12/02/2020,London Oxford Airport,"                ""51.75""",-1.25,4.6
13/02/2020,London Oxford Airport,"                ""51.75""",-1.25,6.7
14/02/2020,London Oxford Airport,"                ""51.75""",-1.25,7
15/02/2020,London Oxford Airport,"                ""51.75""",-1.25,11
16/02/2020,London Oxford Airport,"                ""51.75""",-1.25,8.8
17/02/2020,London Oxford Airport,"                ""51.75""",-1.25,6.6
18/02/2020,London Oxford Airport,"                ""51.75""",-1.25,6
19/02/2020,London Oxford Airport,"                ""51.75""",-1.25,5.7
20/02/2020,London Oxford Airport,"                ""51.75""",-1.25,7.1
21/02/2020,London Oxford Airport,"                ""51.75""",-1.25,7
22/02/2020,London Oxford Airport,"                ""51.75""",-1.25,9.8
23/02/2020,London Oxford Airport,"                ""51.75""",-1.25,9.7
24/02/2020,London Oxford Airport,"                ""51.75""",-1.25,8.7
25/02/2020,London Oxford Airport,"                ""51.75""",-1.25,4.6
26/02/2020,London Oxford Airport,"                ""51.75""",-1.25,3.7
27/02/2020,London Oxford Airport,"                ""51.75""",-1.25,3.5
28/02/2020,London Oxford Airport,"                ""51.75""",-1.25,6.1
29/02/2020,London Oxford Airport,"                ""51.75""",-1.25,6.6
01/03/2020,London Oxford Airport,"                ""51.75""",-1.25,5.1
02/03/2020,London Oxford Airport,"                ""51.75""",-1.25,4.4
03/03/2020,London Oxford Airport,"                ""51.75""",-1.25,4.7
04/03/2020,London Oxford Airport,"                ""51.75""",-1.25,4.2
05/03/2020,London Oxford Airport,"                ""51.75""",-1.25,4.8
06/03/2020,London Oxford Airport,"                ""51.75""",-1.25,4
07/03/2020,London Oxford Airport,"                ""51.75""",-1.25,7.2
08/03/2020,London Oxford Airport,"                ""51.75""",-1.25,8.7
09/03/2020,London Oxford Airport,"                ""51.75""",-1.25,7.1
10/03/2020,London Oxford Airport,"                ""51.75""",-1.25,11.4
11/03/2020,London Oxford Airport,"                ""51.75""",-1.25,10.1
12/03/2020,London Oxford Airport,"                ""51.75""",-1.25,6.3
13/03/2020,London Oxford Airport,"                ""51.75""",-1.25,7.4
