StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q21,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q5_13,Q5_14,Q5_15,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q6_18,Q6_19,Q6_20,Q6_21,Q6_22,Q6_23,Q6_24,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q7_17,Q7_18,Q7_19,Q7_20,Q7_21,Q7_22,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q13,Q34,Q15,Q35_1,Q17,Q18,Q19,Q20
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"For the purposes of carrying out this Survey, the University uses the survey tools provided by Qualtrics with whom the University's Faculty of Health and Life Sciences holds an agreement.  There is always a certain element of risk of data loss when data is collected and processed in an internet environment.  This risk cannot be eliminated entirely and participants consenting to take part in the survey need to be aware of this risk. However, personal data will be minimised to the extent possible for the survey and the University believes that Qualtrics offers sufficient guarantees to keep the data secure while it is being processed. These security obligations are set out in the agreement between Qualtrics and the University.  



Further information about Qualtrics can be found on the following web site: http://qualtrics.com/",Please select your Hall,"Enter your Crescent Hall room number here e.g. C2B
(this is required for the analysis as well as to enter the £25 Amazon voucher prize draw)",Enter your Warneford Hall room number here e.g. C2B(this is required for the analysis as well as to enter the £25 Amazon voucher prize draw),Question 1/7: Listed below are statements about the relationship between humans and the environment. To what extent do you agree or disagree with the following statements? - We are approaching the limit  of the number of people the earth can support,Question 1/7: Listed below are statements about the relationship between humans and the environment. To what extent do you agree or disagree with the following statements? - Humans have the right to modify the natural environment to suit their needs,Question 1/7: Listed below are statements about the relationship between humans and the environment. To what extent do you agree or disagree with the following statements? - When humans interfere with nature it often produces disastrous consequences,Question 1/7: Listed below are statements about the relationship between humans and the environment. To what extent do you agree or disagree with the following statements? - Human ingenuity will insure that we do not make the earth unlivable,Question 1/7: Listed below are statements about the relationship between humans and the environment. To what extent do you agree or disagree with the following statements? - Humans are severely abusing the environment,Question 1/7: Listed below are statements about the relationship between humans and the environment. To what extent do you agree or disagree with the following statements? - The earth has plenty of natural resources if we just learn how to develop them,Question 1/7: Listed below are statements about the relationship between humans and the environment. To what extent do you agree or disagree with the following statements? - Plants and animals have as much right as humans to exist,Question 1/7: Listed below are statements about the relationship between humans and the environment. To what extent do you agree or disagree with the following statements? - The balance of nature is strong enough to cope with the impacts of modern industrial nations,Question 1/7: Listed below are statements about the relationship between humans and the environment. To what extent do you agree or disagree with the following statements? - Despite our special abilities humans are still subject to the laws of nature,Question 1/7: Listed below are statements about the relationship between humans and the environment. To what extent do you agree or disagree with the following statements? - The so-called “ecological crisis” facing humankind has been greatly exaggerated,Question 1/7: Listed below are statements about the relationship between humans and the environment. To what extent do you agree or disagree with the following statements? - The earth is like a spaceship with very limited room and resources,Question 1/7: Listed below are statements about the relationship between humans and the environment. To what extent do you agree or disagree with the following statements? - Humans were meant to rule over the rest of nature,Question 1/7: Listed below are statements about the relationship between humans and the environment. To what extent do you agree or disagree with the following statements? - The balance of nature is very delicate and easily upset,Question 1/7: Listed below are statements about the relationship between humans and the environment. To what extent do you agree or disagree with the following statements? - Humans will eventually learn enough about how nature works to be able to control it,"Question 1/7: Listed below are statements about the relationship between humans and the environment. To what extent do you agree or disagree with the following statements? - If things continue on their present course, we will soon experience a major ecological catastrophe","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - I really like going on trips into the countryside, for example to forests or fields.","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - I think spending time in nature is boring.","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - Governments should control the rate at which raw materials are used to ensure that they last as long as possible.","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - I am opposed to governments controlling and regulating the way raw materials are used in order to try and make them last longer.","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - I would like to join and actively participate in an environmentalist group","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - I would NOT get involved in an environmentalist organization.","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - One of the most important reasons to keep lakes and rivers clean is so that people have a place to enjoy water sports","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - We need to keep rivers and lakes clean in order to protect the environment, and NOT as places for people to enjoy water sports.","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - Modern science will NOT be able to solve our environmental problems","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - Modern science will solve our environmental problems.","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - Humans are severely abusing the environment.","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - I do not believe that the environment has been severely abused by humans.","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - I’d prefer a garden that is wild and natural to a well groomed and ordered one.","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - I’d much prefer a garden that is well groomed and ordered to a wild and natural one.","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - I am NOT the kind of person who makes efforts to conserve natural resources.","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - Whenever possible, I try to save natural resources.","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - Human beings were created or evolved to dominate the rest of nature","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - I DO NOT believe humans were created or evolved to dominate the rest of nature","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - Protecting peoples’ jobs is more important than protecting the environment.","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - Protecting the environment is more important than protecting peoples’ jobs.","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - It makes me sad to see forests cleared for agriculture.","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - It does NOT make me sad to see natural environments destroyed.","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - Families should be encouraged to limit themselves to two children or less.","15% complete!
Question 2/7: Listed below are further statements about the relationship between humans and the environment. To what extent do you agree or disagree with them? - A married couple should have as many children as they wish, as long as they can adequately provide for them.","Brilliant.. 40% complete.. 

 
Question 3/7: To what extent do you agree or disagree with the following statements regarding the thermostatic temperature control in your room? - I understand that my choices to lower or raise the setting of my room thermostat has a direct impact on the environment.","Brilliant.. 40% complete.. 

 
Question 3/7: To what extent do you agree or disagree with the following statements regarding the thermostatic temperature control in your room? - I habitually adjust the thermostat setting in my room.","Brilliant.. 40% complete.. 

 
Question 3/7: To what extent do you agree or disagree with the following statements regarding the thermostatic temperature control in your room? - It's a normal thing for people to do to adjust their thermostats, in consideration of the impact on the environment.","Brilliant.. 40% complete.. 

 
Question 3/7: To what extent do you agree or disagree with the following statements regarding the thermostatic temperature control in your room? - It is my responsibility to minimise my energy consumption by adjusting my room’s thermostatic control settings.","Brilliant.. 40% complete.. 

 
Question 3/7: To what extent do you agree or disagree with the following statements regarding the thermostatic temperature control in your room? - I know that adjusting my thermostat setting will change the amount of energy used to heat my room","Brilliant.. 40% complete.. 

 
Question 3/7: To what extent do you agree or disagree with the following statements regarding the thermostatic temperature control in your room? - I fully intend to use my thermostat control to minimise energy usage in the future","Brilliant.. 40% complete.. 

 
Question 3/7: To what extent do you agree or disagree with the following statements regarding the thermostatic temperature control in your room? - I believe that it is morally the right thing to do to use my thermostat control to minimise energy usage","Brilliant.. 40% complete.. 

 
Question 3/7: To what extent do you agree or disagree with the following statements regarding the thermostatic temperature control in your room? - I feel bad when I think about having used energy unnecessarily to heat my room","Brilliant.. 40% complete.. 

 
Question 3/7: To what extent do you agree or disagree with the following statements regarding the thermostatic temperature control in your room? - It would be wrong to use too much energy to heat my room due to the negative consequences on the environment.","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - Sign a petition in support of protecting the environment","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - Join or renew membership of an environmental group","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - Join public demonstrations or protests supporting environmental protection","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - Write a letter or call your member of parliament or another government official to support environmental protection","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - Give money to an environmental group","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - Read a newsletter, magazine or other publication written by an environmental group","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - If a local or national election was called, vote for a candidate in part because he or she was in favour of strong environmental protection","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - Write to a newspaper in support of protecting the environment","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - Boycott companies that are not environmentally friendly","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - Volunteer to help an environmental group or event","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - Post pro-environmental messages or links on social media (for example, Facebook, Twitter)","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - Buy environmentally friendly products","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - Conserve water at home (for example, when cooking or showering)","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - Minimize use of air-conditioning or heating","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - Reduce car travel (for example, walk, cycle, use public transport)","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - Turn off lights and appliances when not in use","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - Avoid or reduce eating meat","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - Recycle","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - Turn off electrical equipment rather than use ‘standby’ mode","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - Eat food which is locally-grown or in season","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - Use car-sharing or car-pooling schemes","Great! You're over 50%..
Question 4/7: How likely are you to engage in the following activities in the next 12 months? If it’s not possible for you to perform an activity, please choose ‘not applicable’. - Buy products with less packaging","Thanks so much, you've completed 75% of the survey.. 
QUESTION 5/7: Please indicate the extent to which you agree or disagree with the following: ""Protecting the environment and its natural resources is important because..."" - It safeguards my family’s future","Thanks so much, you've completed 75% of the survey.. 
QUESTION 5/7: Please indicate the extent to which you agree or disagree with the following: ""Protecting the environment and its natural resources is important because..."" - It is the duty of every student","Thanks so much, you've completed 75% of the survey.. 
QUESTION 5/7: Please indicate the extent to which you agree or disagree with the following: ""Protecting the environment and its natural resources is important because..."" - It repays the natural world for what it has provided for us","Thanks so much, you've completed 75% of the survey.. 
QUESTION 5/7: Please indicate the extent to which you agree or disagree with the following: ""Protecting the environment and its natural resources is important because..."" - It exhibits courage to stand up for what is right","Thanks so much, you've completed 75% of the survey.. 
QUESTION 5/7: Please indicate the extent to which you agree or disagree with the following: ""Protecting the environment and its natural resources is important because..."" - It shows respect for nature","Thanks so much, you've completed 75% of the survey.. 
QUESTION 5/7: Please indicate the extent to which you agree or disagree with the following: ""Protecting the environment and its natural resources is important because..."" - Nobody should take more than their fair share of the world’s natural resources","Thanks so much, you've completed 75% of the survey.. 
QUESTION 5/7: Please indicate the extent to which you agree or disagree with the following: ""Protecting the environment and its natural resources is important because..."" - It preserves our heritage, which is a valuable","85% done.. last page..
Question 6/7: Please indicate the extent to which you agree or disagree with the following: ""Allowing the degradation of the environment and its natural resources is unacceptable because…"" - It is morally wrong","85% done.. last page..
Question 6/7: Please indicate the extent to which you agree or disagree with the following: ""Allowing the degradation of the environment and its natural resources is unacceptable because…"" - It is deserving of punishment","85% done.. last page..
Question 6/7: Please indicate the extent to which you agree or disagree with the following: ""Allowing the degradation of the environment and its natural resources is unacceptable because…"" - It is unfair","85% done.. last page..
Question 6/7: Please indicate the extent to which you agree or disagree with the following: ""Allowing the degradation of the environment and its natural resources is unacceptable because…"" - It is disgusting","85% done.. last page..
Question 6/7: Please indicate the extent to which you agree or disagree with the following: ""Allowing the degradation of the environment and its natural resources is unacceptable because…"" - It is disloyal","85% done.. last page..
Question 6/7: Please indicate the extent to which you agree or disagree with the following: ""Allowing the degradation of the environment and its natural resources is unacceptable because…"" - It is disrespectful","85% done.. last page..
Question 6/7: Please indicate the extent to which you agree or disagree with the following: ""Allowing the degradation of the environment and its natural resources is unacceptable because…"" - It is harmful","Question 7/7: Using the scale provided, please indicate how much each of the following statements reflects how you typically are. - I am good at resisting temptation","Question 7/7: Using the scale provided, please indicate how much each of the following statements reflects how you typically are. - I have a hard time breaking habits","Question 7/7: Using the scale provided, please indicate how much each of the following statements reflects how you typically are. - I am lazy","Question 7/7: Using the scale provided, please indicate how much each of the following statements reflects how you typically are. - I say inappropriate things","Question 7/7: Using the scale provided, please indicate how much each of the following statements reflects how you typically are. - I do certain things that are bad for me, if they are fun","Question 7/7: Using the scale provided, please indicate how much each of the following statements reflects how you typically are. - I refuse things that are bad for me","Question 7/7: Using the scale provided, please indicate how much each of the following statements reflects how you typically are. - I wish I had more self-discipline","Question 7/7: Using the scale provided, please indicate how much each of the following statements reflects how you typically are. - People would say that I have iron self-discipline","Question 7/7: Using the scale provided, please indicate how much each of the following statements reflects how you typically are. - Pleasure and fun sometimes keep me from getting work done","Question 7/7: Using the scale provided, please indicate how much each of the following statements reflects how you typically are. - I have trouble concentrating","Question 7/7: Using the scale provided, please indicate how much each of the following statements reflects how you typically are. - I am able to work effectively toward long-term goals","Question 7/7: Using the scale provided, please indicate how much each of the following statements reflects how you typically are. - Sometimes I can’t stop myself from doing something, even if I know it is wrong","Question 7/7: Using the scale provided, please indicate how much each of the following statements reflects how you typically are. - I often act without thinking through the alternatives",What gender are you?,How old are you (in years)?,What is your ethnic group?,What is your political orientation? - Political orientation,Were you born in the UK?,In which country were you born?,In which country were you raised?,How long have you lived in the UK?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID138299656""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID43""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID33_4""}","{""ImportId"":""QID33_5""}","{""ImportId"":""QID33_6""}","{""ImportId"":""QID33_7""}","{""ImportId"":""QID33_8""}","{""ImportId"":""QID33_9""}","{""ImportId"":""QID33_10""}","{""ImportId"":""QID33_11""}","{""ImportId"":""QID33_12""}","{""ImportId"":""QID33_13""}","{""ImportId"":""QID33_14""}","{""ImportId"":""QID33_15""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID34_3""}","{""ImportId"":""QID34_4""}","{""ImportId"":""QID34_5""}","{""ImportId"":""QID34_6""}","{""ImportId"":""QID34_7""}","{""ImportId"":""QID34_8""}","{""ImportId"":""QID34_9""}","{""ImportId"":""QID34_10""}","{""ImportId"":""QID34_11""}","{""ImportId"":""QID34_12""}","{""ImportId"":""QID34_13""}","{""ImportId"":""QID34_14""}","{""ImportId"":""QID34_15""}","{""ImportId"":""QID34_16""}","{""ImportId"":""QID34_17""}","{""ImportId"":""QID34_18""}","{""ImportId"":""QID34_19""}","{""ImportId"":""QID34_20""}","{""ImportId"":""QID34_21""}","{""ImportId"":""QID34_22""}","{""ImportId"":""QID34_23""}","{""ImportId"":""QID34_24""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID36_4""}","{""ImportId"":""QID36_5""}","{""ImportId"":""QID36_6""}","{""ImportId"":""QID36_7""}","{""ImportId"":""QID36_8""}","{""ImportId"":""QID36_9""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID35_2""}","{""ImportId"":""QID35_3""}","{""ImportId"":""QID35_4""}","{""ImportId"":""QID35_5""}","{""ImportId"":""QID35_6""}","{""ImportId"":""QID35_7""}","{""ImportId"":""QID35_8""}","{""ImportId"":""QID35_9""}","{""ImportId"":""QID35_10""}","{""ImportId"":""QID35_11""}","{""ImportId"":""QID35_13""}","{""ImportId"":""QID35_14""}","{""ImportId"":""QID35_15""}","{""ImportId"":""QID35_16""}","{""ImportId"":""QID35_17""}","{""ImportId"":""QID35_18""}","{""ImportId"":""QID35_19""}","{""ImportId"":""QID35_20""}","{""ImportId"":""QID35_21""}","{""ImportId"":""QID35_22""}","{""ImportId"":""QID35_23""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID37_3""}","{""ImportId"":""QID37_4""}","{""ImportId"":""QID37_5""}","{""ImportId"":""QID37_6""}","{""ImportId"":""QID37_7""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_2""}","{""ImportId"":""QID38_3""}","{""ImportId"":""QID38_4""}","{""ImportId"":""QID38_5""}","{""ImportId"":""QID38_6""}","{""ImportId"":""QID38_7""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID39_3""}","{""ImportId"":""QID39_4""}","{""ImportId"":""QID39_5""}","{""ImportId"":""QID39_6""}","{""ImportId"":""QID39_7""}","{""ImportId"":""QID39_8""}","{""ImportId"":""QID39_9""}","{""ImportId"":""QID39_10""}","{""ImportId"":""QID39_11""}","{""ImportId"":""QID39_12""}","{""ImportId"":""QID39_13""}","{""ImportId"":""QID138299658""}","{""ImportId"":""QID41""}","{""ImportId"":""QID26""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31_TEXT""}"
2020-01-15 15:41:36,2020-01-15 15:43:52,Survey Preview,100,135,True,2020-01-15 15:43:52,R_1IoTq7X20f0RuP6,preview,EN-GB,I consent to participate in this survey,Warneford Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-16 06:23:51,2020-01-16 06:36:18,Survey Preview,100,746,True,2020-01-16 06:36:18,R_xt1QxtJKb9cvMOt,preview,EN-GB,I consent to participate in this survey,Warneford Hall,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Disagree,Agree,Somewhat agree,Strongly agree,Somewhat disagree,Agree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Somewhat disagree,Strongly disagree,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Strongly agree,Strongly agree,6,6,6,4 = Neither likely nor unlikely,6,4 = Neither likely nor unlikely,7 = Very likely,1 = Not at all likely,2,3,6,7 = Very likely,7 = Very likely,6,5,7 = Very likely,6,7 = Very likely,3,6,6,7 = Very likely,Agree,Agree,Neither agree nor disagree,Somewhat agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,5 = Very much,2,3,2,5 = Very much,2,3,3,1 = Not at all,5 = Very much,5 = Very much,4,3,Man,,White,,No,D,D,5
2020-01-16 08:07:48,2020-01-16 08:20:37,Survey Preview,100,768,True,2020-01-16 08:20:37,R_3nOeSL7WuJc6r40,preview,EN-GB,I consent to participate in this survey,Warneford Hall,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,,,,,,Disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27 03:06:08,2020-01-27 03:23:53,Survey Preview,100,1064,True,2020-01-27 03:23:53,R_3ISN15NNEWfgjJa,preview,EN-GB,I consent to participate in this survey,Warneford Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29 14:14:21,2020-01-29 14:25:42,Survey Preview,100,680,True,2020-01-29 14:25:42,R_2teSyCNFUn5YGBt,preview,EN-GB,I consent to participate in this survey,Warneford Hall,,A01-A,Somewhat agree,Somewhat agree,Disagree,Disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Somewhat agree,Disagree,Somewhat disagree,Disagree,Agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree,Agree,Disagree,,,,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,,5,1 = Not at all likely,4 = Neither likely nor unlikely,1 = Not at all likely,1 = Not at all likely,1 = Not at all likely,4 = Neither likely nor unlikely,1 = Not at all likely,4 = Neither likely nor unlikely,1 = Not at all likely,5,7 = Very likely,1 = Not at all likely,3,6,5,6,6,1 = Not at all likely,6,1 = Not at all likely,4 = Neither likely nor unlikely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03 01:09:27,2020-02-03 01:10:50,Survey Preview,100,83,True,2020-02-03 01:10:51,R_3QVELtxjFJhm1DR,preview,EN-GB,I consent to participate in this survey,Warneford Hall,,A01-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03 09:22:24,2020-02-03 09:24:29,Survey Preview,100,124,True,2020-02-03 09:24:29,R_rkTVaNtF21q9XdD,preview,EN-GB,I consent to participate in this survey,Warneford Hall,,A01-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03 09:26:28,2020-02-03 09:27:50,Survey Preview,100,81,True,2020-02-03 09:27:50,R_1GV82jhEUsBDrrg,preview,EN-GB,I consent to participate in this survey,Warneford Hall,,A01-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
